_id,itemName,categoryId,categoryName,storeName,storeOwnerName,storePolicies,storeFreeShippingTotal,storeId,imageArray,itemRating,badges-bestseller,badges-trending,singlePrice,pricedOptions,unpricedOptions,customOptions,maxQuantity,inserts-niceChoice,inserts-othersWant,quickFacts-handmade,quickFacts-materials,description,shipTime,shipFrom,shipCost,faqs
0,Throwing Axe,0,Weapons & Tools,DoomsDayPrep,,,,1,"[""https://i.etsystatic.com/21176086/r/il/828b27/2014526488/il_794xN.2014526488_4sn3.jpg"",""https://i.etsystatic.com/21176086/r/il/9a41b8/2062113941/il_794xN.2062113941_n1ni.jpg"",""https://i.etsystatic.com/21176086/r/il/72b2f6/2062113567/il_794xN.2062113567_sd8h.jpg"",""https://i.etsystatic.com/21176086/r/il/5af9fc/2062113579/il_794xN.2062113579_otb7.jpg""]'",4.1875,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
1,Folding Knife,0,Weapons & Tools,DoomsDayPrep,,,,1,"[""https://i.etsystatic.com/12650494/r/il/7897e0/1574727107/il_794xN.1574727107_md27.jpg"",""https://i.etsystatic.com/12650494/r/il/618a0e/1572358029/il_794xN.1572358029_tq4i.jpg"",""https://i.etsystatic.com/12650494/r/il/053cf9/1524891988/il_794xN.1524891988_28ok.jpg"",""https://i.etsystatic.com/12650494/r/il/6cc90b/1524891984/il_794xN.1524891984_p32k.jpg""]'",4.25,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
2,Pry Bar,0,Weapons & Tools,DoomsDayPrep,,,,1,"[""https://i.etsystatic.com/13650511/r/il/58e5eb/1922702649/il_794xN.1922702649_q6ng.jpg"",""https://i.etsystatic.com/13650511/r/il/b99e0d/1672796031/il_794xN.1672796031_tlxp.jpg"",""https://i.etsystatic.com/13650511/r/il/3d051b/1672796165/il_794xN.1672796165_337s.jpg"",""https://i.etsystatic.com/13650511/r/il/b95cc7/1625371770/il_794xN.1625371770_rjrr.jpg"",""https://i.etsystatic.com/13650511/r/il/d22f6d/1625371870/il_794xN.1625371870_au8m.jpg"",""https://i.etsystatic.com/13650511/r/il/db1e41/1672796751/il_794xN.1672796751_9zf0.jpg""]'",4.4375,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
3,Zap Blast Knuckles,0,Weapons & Tools,DoomsDayPrep,,,,1,"[""https://i.etsystatic.com/10493343/r/il/bc6788/1122371090/il_794xN.1122371090_272l.jpg"", ""https://i.etsystatic.com/10493343/r/il/10b40e/1168972139/il_794xN.1168972139_t2ko.jpg"", ""https://i.etsystatic.com/10493343/r/il/c30c11/1168972141/il_794xN.1168972141_nx2d.jpg"",""https://i.etsystatic.com/10493343/r/il/d51b0c/1168972161/il_794xN.1168972161_cm2p.jpg"",""https://i.etsystatic.com/10493343/r/il/f84c17/1168972163/il_794xN.1168972163_9a49.jpg""]'",4.4375,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
4,Gas Mask,1,Equipment,DoomsDayPrep,,,,1,"[""https://i.etsystatic.com/12698076/r/il/307186/2129486374/il_794xN.2129486374_890y.jpg"",""https://i.etsystatic.com/12698076/r/il/9f6900/2177042977/il_794xN.2177042977_2yhq.jpg"",""https://i.etsystatic.com/12698076/r/il/1e10f0/2177042981/il_794xN.2177042981_n6zi.jpg"",""https://i.etsystatic.com/12698076/r/il/9a7311/2129486498/il_794xN.2129486498_c6y5.jpg"",""https://i.etsystatic.com/12698076/r/il/a2fd5c/2177043071/il_794xN.2177043071_9o38.jpg""]'",4.375,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
5,Crossbow,0,Weapons & Tools,,,,,,"[""https://i.etsystatic.com/14134862/r/il/753c90/1426189667/il_794xN.1426189667_7se7.jpg"", ""https://i.etsystatic.com/14134862/r/il/45ea40/1426190357/il_794xN.1426190357_rfl6.jpg"", ""https://i.etsystatic.com/14134862/r/il/95e604/1442090591/il_794xN.1442090591_nvkr.jpg"", ""https://i.etsystatic.com/14134862/r/il/2f767d/1442090625/il_794xN.1442090625_f1md.jpg"", ""https://i.etsystatic.com/14134862/r/il/c9b9e7/1442090659/il_794xN.1442090659_bkbf.jpg"", ""https://i.etsystatic.com/14134862/r/il/487630/1394820670/il_794xN.1394820670_5ggf.jpg""]'",,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
6,Barbed Wire Baseball Bat,0,Weapons & Tools,,,,,,"[""https://i.etsystatic.com/19613816/r/il/2d07fe/1944341072/il_794xN.1944341072_tii9.jpg"",""https://i.etsystatic.com/19613816/r/il/84d3a1/1991877889/il_794xN.1991877889_dys6.jpg"",""https://i.etsystatic.com/19613816/r/il/b00894/1991877947/il_794xN.1991877947_nnbz.jpg""]'",,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
7,Bulletproof Vest,1,Equipment,,,,,,"[""https://i.etsystatic.com/13393684/r/il/fc9c40/2053969161/il_794xN.2053969161_7o7l.jpg"",""https://i.etsystatic.com/13393684/r/il/00ec4b/2053969163/il_794xN.2053969163_6n6w.jpg"",""https://i.etsystatic.com/13393684/r/il/0fa78a/2006384042/il_794xN.2006384042_itjx.jpg"",""https://i.etsystatic.com/13393684/r/il/b5589f/2006384126/il_794xN.2006384126_5ubt.jpg"",""https://i.etsystatic.com/13393684/r/il/45897e/2053969229/il_794xN.2053969229_q9y2.jpg"",""https://i.etsystatic.com/13393684/r/il/17b7a2/2053969235/il_794xN.2053969235_2g42.jpg""]'",,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
8,,,,,,,,,, ,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
9,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
10,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
11,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
12,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
13,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
14,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
15,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
16,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
17,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
